0 -1 [[2, 8, 7], [1, 3, 6], [0, 4, 5]]
35 17 [[8, 0, 7], [2, 1, 6], [4, 3, 5]]
36 18 [[2, 8, 7], [4, 1, 6], [3, 0, 5]]
37 19 [[2, 0, 8], [1, 6, 7], [4, 3, 5]]
38 20 [[2, 8, 7], [1, 6, 5], [4, 0, 3]]
39 21 [[1, 2, 7], [0, 8, 6], [4, 3, 5]]
40 22 [[2, 7, 6], [1, 8, 0], [4, 3, 5]]
41 23 [[2, 0, 8], [3, 6, 7], [1, 4, 5]]
42 24 [[2, 8, 7], [3, 6, 5], [1, 0, 4]]
43 25 [[3, 2, 7], [0, 8, 6], [1, 4, 5]]
44 26 [[2, 7, 6], [3, 8, 0], [1, 4, 5]]
45 27 [[2, 8, 7], [0, 4, 6], [3, 1, 5]]
46 28 [[2, 8, 7], [3, 4, 0], [1, 5, 6]]
47 29 [[8, 7, 6], [2, 3, 0], [1, 4, 5]]
48 30 [[8, 3, 7], [0, 2, 6], [1, 4, 5]]
49 30 [[8, 3, 7], [2, 6, 0], [1, 4, 5]]
50 30 [[8, 3, 7], [2, 4, 6], [1, 0, 5]]
51 31 [[0, 8, 7], [2, 1, 3], [4, 5, 6]]
52 31 [[2, 8, 7], [4, 1, 3], [0, 5, 6]]
53 32 [[0, 2, 7], [1, 8, 3], [4, 5, 6]]
54 32 [[2, 7, 0], [1, 8, 3], [4, 5, 6]]
55 33 [[2, 8, 7], [1, 5, 3], [0, 4, 6]]
56 33 [[2, 8, 7], [1, 5, 3], [4, 6, 0]]
57 34 [[0, 2, 8], [1, 3, 7], [4, 5, 6]]
58 34 [[2, 3, 8], [1, 0, 7], [4, 5, 6]]
59 35 [[8, 7, 0], [2, 1, 6], [4, 3, 5]]
60 35 [[8, 1, 7], [2, 0, 6], [4, 3, 5]]
61 36 [[2, 8, 7], [4, 1, 6], [3, 5, 0]]
62 36 [[2, 8, 7], [4, 0, 6], [3, 1, 5]]
63 37 [[0, 2, 8], [1, 6, 7], [4, 3, 5]]
64 37 [[2, 6, 8], [1, 0, 7], [4, 3, 5]]
65 38 [[2, 8, 7], [1, 6, 5], [0, 4, 3]]
66 38 [[2, 8, 7], [1, 0, 5], [4, 6, 3]]
67 39 [[1, 2, 7], [8, 0, 6], [4, 3, 5]]
68 39 [[1, 2, 7], [4, 8, 6], [0, 3, 5]]
69 40 [[2, 7, 6], [1, 0, 8], [4, 3, 5]]
70 40 [[2, 7, 6], [1, 8, 5], [4, 3, 0]]
71 41 [[0, 2, 8], [3, 6, 7], [1, 4, 5]]
72 41 [[2, 6, 8], [3, 0, 7], [1, 4, 5]]
73 42 [[2, 8, 7], [3, 6, 5], [0, 1, 4]]
74 42 [[2, 8, 7], [3, 0, 5], [1, 6, 4]]
75 43 [[3, 2, 7], [8, 0, 6], [1, 4, 5]]
76 43 [[3, 2, 7], [1, 8, 6], [0, 4, 5]]
77 44 [[2, 7, 6], [3, 0, 8], [1, 4, 5]]
78 44 [[2, 7, 6], [3, 8, 5], [1, 4, 0]]
79 45 [[0, 8, 7], [2, 4, 6], [3, 1, 5]]
80 46 [[2, 8, 7], [3, 0, 4], [1, 5, 6]]
81 46 [[2, 8, 0], [3, 4, 7], [1, 5, 6]]
82 47 [[8, 7, 6], [2, 0, 3], [1, 4, 5]]
83 47 [[8, 7, 6], [2, 3, 5], [1, 4, 0]]
84 48 [[0, 3, 7], [8, 2, 6], [1, 4, 5]]
85 48 [[8, 3, 7], [1, 2, 6], [0, 4, 5]]
86 49 [[8, 3, 0], [2, 6, 7], [1, 4, 5]]
87 49 [[8, 3, 7], [2, 6, 5], [1, 4, 0]]
88 50 [[8, 3, 7], [2, 4, 6], [0, 1, 5]]
89 50 [[8, 3, 7], [2, 4, 6], [1, 5, 0]]
90 51 [[8, 0, 7], [2, 1, 3], [4, 5, 6]]
91 52 [[2, 8, 7], [4, 1, 3], [5, 0, 6]]
92 53 [[1, 2, 7], [0, 8, 3], [4, 5, 6]]
93 54 [[2, 7, 3], [1, 8, 0], [4, 5, 6]]
94 55 [[2, 8, 7], [0, 5, 3], [1, 4, 6]]
95 56 [[2, 8, 7], [1, 5, 0], [4, 6, 3]]
96 57 [[1, 2, 8], [0, 3, 7], [4, 5, 6]]
97 58 [[2, 3, 8], [0, 1, 7], [4, 5, 6]]
98 58 [[2, 3, 8], [1, 7, 0], [4, 5, 6]]
99 58 [[2, 3, 8], [1, 5, 7], [4, 0, 6]]
100 59 [[8, 7, 6], [2, 1, 0], [4, 3, 5]]
101 60 [[8, 1, 7], [0, 2, 6], [4, 3, 5]]
102 60 [[8, 1, 7], [2, 6, 0], [4, 3, 5]]
103 60 [[8, 1, 7], [2, 3, 6], [4, 0, 5]]
104 61 [[2, 8, 7], [4, 1, 0], [3, 5, 6]]
105 62 [[2, 8, 7], [4, 6, 0], [3, 1, 5]]
106 62 [[2, 0, 7], [4, 8, 6], [3, 1, 5]]
107 63 [[1, 2, 8], [0, 6, 7], [4, 3, 5]]
108 64 [[2, 6, 8], [0, 1, 7], [4, 3, 5]]
109 64 [[2, 6, 8], [1, 7, 0], [4, 3, 5]]
110 64 [[2, 6, 8], [1, 3, 7], [4, 0, 5]]
111 65 [[2, 8, 7], [0, 6, 5], [1, 4, 3]]
112 66 [[2, 8, 7], [0, 1, 5], [4, 6, 3]]
113 66 [[2, 0, 7], [1, 8, 5], [4, 6, 3]]
114 67 [[1, 2, 7], [8, 6, 0], [4, 3, 5]]
115 67 [[1, 0, 7], [8, 2, 6], [4, 3, 5]]
116 67 [[1, 2, 7], [8, 3, 6], [4, 0, 5]]
117 68 [[1, 2, 7], [4, 8, 6], [3, 0, 5]]
118 69 [[2, 7, 6], [0, 1, 8], [4, 3, 5]]
119 69 [[2, 0, 6], [1, 7, 8], [4, 3, 5]]
120 69 [[2, 7, 6], [1, 3, 8], [4, 0, 5]]
121 70 [[2, 7, 6], [1, 8, 5], [4, 0, 3]]
122 71 [[3, 2, 8], [0, 6, 7], [1, 4, 5]]
123 72 [[2, 6, 8], [0, 3, 7], [1, 4, 5]]
124 72 [[2, 6, 8], [3, 7, 0], [1, 4, 5]]
125 72 [[2, 6, 8], [3, 4, 7], [1, 0, 5]]
126 73 [[2, 8, 7], [0, 6, 5], [3, 1, 4]]
127 74 [[2, 8, 7], [0, 3, 5], [1, 6, 4]]
128 74 [[2, 8, 7], [3, 5, 0], [1, 6, 4]]
129 74 [[2, 0, 7], [3, 8, 5], [1, 6, 4]]
130 75 [[3, 2, 7], [8, 6, 0], [1, 4, 5]]
131 75 [[3, 0, 7], [8, 2, 6], [1, 4, 5]]
132 75 [[3, 2, 7], [8, 4, 6], [1, 0, 5]]
133 76 [[3, 2, 7], [1, 8, 6], [4, 0, 5]]
134 77 [[2, 7, 6], [0, 3, 8], [1, 4, 5]]
135 77 [[2, 0, 6], [3, 7, 8], [1, 4, 5]]
136 77 [[2, 7, 6], [3, 4, 8], [1, 0, 5]]
137 78 [[2, 7, 6], [3, 8, 5], [1, 0, 4]]
138 79 [[8, 0, 7], [2, 4, 6], [3, 1, 5]]
139 80 [[2, 8, 7], [0, 3, 4], [1, 5, 6]]
140 80 [[2, 0, 7], [3, 8, 4], [1, 5, 6]]
141 80 [[2, 8, 7], [3, 5, 4], [1, 0, 6]]
142 81 [[2, 0, 8], [3, 4, 7], [1, 5, 6]]
143 82 [[8, 7, 6], [0, 2, 3], [1, 4, 5]]
144 82 [[8, 0, 6], [2, 7, 3], [1, 4, 5]]
145 82 [[8, 7, 6], [2, 4, 3], [1, 0, 5]]
146 83 [[8, 7, 6], [2, 3, 5], [1, 0, 4]]
147 85 [[8, 3, 7], [1, 2, 6], [4, 0, 5]]
148 86 [[8, 0, 3], [2, 6, 7], [1, 4, 5]]
149 87 [[8, 3, 7], [2, 6, 5], [1, 0, 4]]
150 88 [[8, 3, 7], [0, 4, 6], [2, 1, 5]]
151 89 [[8, 3, 7], [2, 4, 0], [1, 5, 6]]
152 90 [[8, 7, 0], [2, 1, 3], [4, 5, 6]]
153 90 [[8, 1, 7], [2, 0, 3], [4, 5, 6]]
154 91 [[2, 8, 7], [4, 1, 3], [5, 6, 0]]
155 91 [[2, 8, 7], [4, 0, 3], [5, 1, 6]]
156 92 [[1, 2, 7], [8, 0, 3], [4, 5, 6]]
157 92 [[1, 2, 7], [4, 8, 3], [0, 5, 6]]
158 93 [[2, 7, 3], [1, 0, 8], [4, 5, 6]]
159 93 [[2, 7, 3], [1, 8, 6], [4, 5, 0]]
160 94 [[2, 8, 7], [5, 0, 3], [1, 4, 6]]
161 94 [[0, 8, 7], [2, 5, 3], [1, 4, 6]]
162 95 [[2, 8, 0], [1, 5, 7], [4, 6, 3]]
163 96 [[1, 2, 8], [3, 0, 7], [4, 5, 6]]
164 96 [[1, 2, 8], [4, 3, 7], [0, 5, 6]]
165 97 [[0, 3, 8], [2, 1, 7], [4, 5, 6]]
166 97 [[2, 3, 8], [4, 1, 7], [0, 5, 6]]
167 98 [[2, 3, 0], [1, 7, 8], [4, 5, 6]]
168 98 [[2, 3, 8], [1, 7, 6], [4, 5, 0]]
169 99 [[2, 3, 8], [1, 5, 7], [0, 4, 6]]
170 99 [[2, 3, 8], [1, 5, 7], [4, 6, 0]]
171 100 [[8, 7, 6], [2, 0, 1], [4, 3, 5]]
172 100 [[8, 7, 6], [2, 1, 5], [4, 3, 0]]
173 101 [[0, 1, 7], [8, 2, 6], [4, 3, 5]]
174 101 [[8, 1, 7], [4, 2, 6], [0, 3, 5]]
175 102 [[8, 1, 0], [2, 6, 7], [4, 3, 5]]
176 102 [[8, 1, 7], [2, 6, 5], [4, 3, 0]]
177 103 [[8, 1, 7], [2, 3, 6], [0, 4, 5]]
178 103 [[8, 1, 7], [2, 3, 6], [4, 5, 0]]
179 104 [[2, 8, 7], [4, 0, 1], [3, 5, 6]]
180 104 [[2, 8, 0], [4, 1, 7], [3, 5, 6]]
181 105 [[2, 8, 0], [4, 6, 7], [3, 1, 5]]
182 105 [[2, 8, 7], [4, 6, 5], [3, 1, 0]]
183 106 [[0, 2, 7], [4, 8, 6], [3, 1, 5]]
184 106 [[2, 7, 0], [4, 8, 6], [3, 1, 5]]
185 107 [[1, 2, 8], [6, 0, 7], [4, 3, 5]]
186 107 [[1, 2, 8], [4, 6, 7], [0, 3, 5]]
187 108 [[0, 6, 8], [2, 1, 7], [4, 3, 5]]
188 108 [[2, 6, 8], [4, 1, 7], [0, 3, 5]]
189 109 [[2, 6, 0], [1, 7, 8], [4, 3, 5]]
190 109 [[2, 6, 8], [1, 7, 5], [4, 3, 0]]
191 110 [[2, 6, 8], [1, 3, 7], [0, 4, 5]]
192 110 [[2, 6, 8], [1, 3, 7], [4, 5, 0]]
193 111 [[2, 8, 7], [6, 0, 5], [1, 4, 3]]
194 111 [[0, 8, 7], [2, 6, 5], [1, 4, 3]]
195 112 [[0, 8, 7], [2, 1, 5], [4, 6, 3]]
196 112 [[2, 8, 7], [4, 1, 5], [0, 6, 3]]
197 113 [[0, 2, 7], [1, 8, 5], [4, 6, 3]]
198 113 [[2, 7, 0], [1, 8, 5], [4, 6, 3]]
199 114 [[1, 2, 0], [8, 6, 7], [4, 3, 5]]
200 114 [[1, 2, 7], [8, 6, 5], [4, 3, 0]]
201 115 [[1, 7, 0], [8, 2, 6], [4, 3, 5]]
202 116 [[1, 2, 7], [8, 3, 6], [0, 4, 5]]
203 116 [[1, 2, 7], [8, 3, 6], [4, 5, 0]]
204 117 [[1, 2, 7], [4, 8, 6], [3, 5, 0]]
205 117 [[1, 2, 7], [4, 0, 6], [3, 8, 5]]
206 118 [[0, 7, 6], [2, 1, 8], [4, 3, 5]]
207 118 [[2, 7, 6], [4, 1, 8], [0, 3, 5]]
208 119 [[0, 2, 6], [1, 7, 8], [4, 3, 5]]
209 120 [[2, 7, 6], [1, 3, 8], [0, 4, 5]]
210 120 [[2, 7, 6], [1, 3, 8], [4, 5, 0]]
211 121 [[2, 7, 6], [1, 8, 5], [0, 4, 3]]
212 121 [[2, 7, 6], [1, 0, 5], [4, 8, 3]]
213 122 [[3, 2, 8], [6, 0, 7], [1, 4, 5]]
214 122 [[3, 2, 8], [1, 6, 7], [0, 4, 5]]
215 123 [[0, 6, 8], [2, 3, 7], [1, 4, 5]]
216 124 [[2, 6, 0], [3, 7, 8], [1, 4, 5]]
217 124 [[2, 6, 8], [3, 7, 5], [1, 4, 0]]
218 125 [[2, 6, 8], [3, 4, 7], [0, 1, 5]]
219 125 [[2, 6, 8], [3, 4, 7], [1, 5, 0]]
220 126 [[2, 8, 7], [6, 0, 5], [3, 1, 4]]
221 126 [[0, 8, 7], [2, 6, 5], [3, 1, 4]]
222 127 [[0, 8, 7], [2, 3, 5], [1, 6, 4]]
223 127 [[2, 8, 7], [1, 3, 5], [0, 6, 4]]
224 128 [[2, 8, 0], [3, 5, 7], [1, 6, 4]]
225 128 [[2, 8, 7], [3, 5, 4], [1, 6, 0]]
226 129 [[0, 2, 7], [3, 8, 5], [1, 6, 4]]
227 129 [[2, 7, 0], [3, 8, 5], [1, 6, 4]]
228 130 [[3, 2, 0], [8, 6, 7], [1, 4, 5]]
229 130 [[3, 2, 7], [8, 6, 5], [1, 4, 0]]
230 131 [[3, 7, 0], [8, 2, 6], [1, 4, 5]]
231 132 [[3, 2, 7], [8, 4, 6], [0, 1, 5]]
232 132 [[3, 2, 7], [8, 4, 6], [1, 5, 0]]
233 133 [[3, 2, 7], [1, 8, 6], [4, 5, 0]]
234 133 [[3, 2, 7], [1, 0, 6], [4, 8, 5]]
235 134 [[0, 7, 6], [2, 3, 8], [1, 4, 5]]
236 135 [[0, 2, 6], [3, 7, 8], [1, 4, 5]]
237 136 [[2, 7, 6], [3, 4, 8], [0, 1, 5]]
238 136 [[2, 7, 6], [3, 4, 8], [1, 5, 0]]
239 137 [[2, 7, 6], [3, 8, 5], [0, 1, 4]]
240 137 [[2, 7, 6], [3, 0, 5], [1, 8, 4]]
241 138 [[8, 7, 0], [2, 4, 6], [3, 1, 5]]
242 138 [[8, 4, 7], [2, 0, 6], [3, 1, 5]]
243 139 [[0, 8, 7], [2, 3, 4], [1, 5, 6]]
244 139 [[2, 8, 7], [1, 3, 4], [0, 5, 6]]
245 140 [[0, 2, 7], [3, 8, 4], [1, 5, 6]]
246 140 [[2, 7, 0], [3, 8, 4], [1, 5, 6]]
247 141 [[2, 8, 7], [3, 5, 4], [0, 1, 6]]
248 142 [[0, 2, 8], [3, 4, 7], [1, 5, 6]]
249 142 [[2, 4, 8], [3, 0, 7], [1, 5, 6]]
250 143 [[0, 7, 6], [8, 2, 3], [1, 4, 5]]
251 143 [[8, 7, 6], [1, 2, 3], [0, 4, 5]]
252 144 [[0, 8, 6], [2, 7, 3], [1, 4, 5]]
253 144 [[8, 6, 0], [2, 7, 3], [1, 4, 5]]
254 145 [[8, 7, 6], [2, 4, 3], [0, 1, 5]]
255 145 [[8, 7, 6], [2, 4, 3], [1, 5, 0]]
256 146 [[8, 7, 6], [2, 3, 5], [0, 1, 4]]
257 146 [[8, 7, 6], [2, 0, 5], [1, 3, 4]]
258 147 [[8, 3, 7], [1, 2, 6], [4, 5, 0]]
259 147 [[8, 3, 7], [1, 0, 6], [4, 2, 5]]
260 148 [[0, 8, 3], [2, 6, 7], [1, 4, 5]]
261 148 [[8, 6, 3], [2, 0, 7], [1, 4, 5]]
262 149 [[8, 3, 7], [2, 6, 5], [0, 1, 4]]
263 149 [[8, 3, 7], [2, 0, 5], [1, 6, 4]]
264 150 [[8, 3, 7], [4, 0, 6], [2, 1, 5]]
265 150 [[0, 3, 7], [8, 4, 6], [2, 1, 5]]
266 151 [[8, 3, 7], [2, 0, 4], [1, 5, 6]]
267 151 [[8, 3, 0], [2, 4, 7], [1, 5, 6]]
268 152 [[8, 7, 3], [2, 1, 0], [4, 5, 6]]
269 153 [[8, 1, 7], [0, 2, 3], [4, 5, 6]]
270 153 [[8, 1, 7], [2, 3, 0], [4, 5, 6]]
271 153 [[8, 1, 7], [2, 5, 3], [4, 0, 6]]
272 154 [[2, 8, 7], [4, 1, 0], [5, 6, 3]]
273 155 [[2, 8, 7], [0, 4, 3], [5, 1, 6]]
274 155 [[2, 8, 7], [4, 3, 0], [5, 1, 6]]
275 155 [[2, 0, 7], [4, 8, 3], [5, 1, 6]]
276 156 [[1, 2, 7], [8, 3, 0], [4, 5, 6]]
277 156 [[1, 0, 7], [8, 2, 3], [4, 5, 6]]
278 156 [[1, 2, 7], [8, 5, 3], [4, 0, 6]]
279 157 [[1, 2, 7], [4, 8, 3], [5, 0, 6]]
280 158 [[2, 7, 3], [0, 1, 8], [4, 5, 6]]
281 158 [[2, 0, 3], [1, 7, 8], [4, 5, 6]]
282 158 [[2, 7, 3], [1, 5, 8], [4, 0, 6]]
283 159 [[2, 7, 3], [1, 8, 6], [4, 0, 5]]
284 160 [[2, 8, 7], [5, 3, 0], [1, 4, 6]]
285 160 [[2, 0, 7], [5, 8, 3], [1, 4, 6]]
286 160 [[2, 8, 7], [5, 4, 3], [1, 0, 6]]
287 161 [[8, 0, 7], [2, 5, 3], [1, 4, 6]]
288 162 [[2, 0, 8], [1, 5, 7], [4, 6, 3]]
289 163 [[1, 2, 8], [3, 7, 0], [4, 5, 6]]
290 163 [[1, 0, 8], [3, 2, 7], [4, 5, 6]]
291 163 [[1, 2, 8], [3, 5, 7], [4, 0, 6]]
292 164 [[1, 2, 8], [4, 3, 7], [5, 0, 6]]
293 165 [[3, 0, 8], [2, 1, 7], [4, 5, 6]]
294 166 [[2, 3, 8], [4, 1, 7], [5, 0, 6]]
295 168 [[2, 3, 8], [1, 7, 6], [4, 0, 5]]
296 169 [[2, 3, 8], [0, 5, 7], [1, 4, 6]]
297 170 [[2, 3, 8], [1, 5, 0], [4, 6, 7]]
298 171 [[8, 7, 6], [0, 2, 1], [4, 3, 5]]
299 171 [[8, 0, 6], [2, 7, 1], [4, 3, 5]]
300 171 [[8, 7, 6], [2, 3, 1], [4, 0, 5]]
301 172 [[8, 7, 6], [2, 1, 5], [4, 0, 3]]
302 174 [[8, 1, 7], [4, 2, 6], [3, 0, 5]]
303 175 [[8, 0, 1], [2, 6, 7], [4, 3, 5]]
304 176 [[8, 1, 7], [2, 6, 5], [4, 0, 3]]
305 177 [[8, 1, 7], [0, 3, 6], [2, 4, 5]]
306 179 [[2, 8, 7], [0, 4, 1], [3, 5, 6]]
307 179 [[2, 0, 7], [4, 8, 1], [3, 5, 6]]
308 179 [[2, 8, 7], [4, 5, 1], [3, 0, 6]]
309 180 [[2, 0, 8], [4, 1, 7], [3, 5, 6]]
310 181 [[2, 0, 8], [4, 6, 7], [3, 1, 5]]
311 182 [[2, 8, 7], [4, 6, 5], [3, 0, 1]]
312 183 [[4, 2, 7], [0, 8, 6], [3, 1, 5]]
313 184 [[2, 7, 6], [4, 8, 0], [3, 1, 5]]
314 185 [[1, 2, 8], [6, 7, 0], [4, 3, 5]]
315 185 [[1, 0, 8], [6, 2, 7], [4, 3, 5]]
316 185 [[1, 2, 8], [6, 3, 7], [4, 0, 5]]
317 186 [[1, 2, 8], [4, 6, 7], [3, 0, 5]]
318 187 [[6, 0, 8], [2, 1, 7], [4, 3, 5]]
319 188 [[2, 6, 8], [4, 1, 7], [3, 0, 5]]
320 190 [[2, 6, 8], [1, 7, 5], [4, 0, 3]]
321 192 [[2, 6, 8], [1, 3, 0], [4, 5, 7]]
322 193 [[2, 8, 7], [6, 5, 0], [1, 4, 3]]
323 193 [[2, 0, 7], [6, 8, 5], [1, 4, 3]]
324 193 [[2, 8, 7], [6, 4, 5], [1, 0, 3]]
325 194 [[8, 0, 7], [2, 6, 5], [1, 4, 3]]
326 195 [[8, 0, 7], [2, 1, 5], [4, 6, 3]]
327 196 [[2, 8, 7], [4, 1, 5], [6, 0, 3]]
328 197 [[1, 2, 7], [0, 8, 5], [4, 6, 3]]
329 198 [[2, 7, 5], [1, 8, 0], [4, 6, 3]]
330 199 [[1, 0, 2], [8, 6, 7], [4, 3, 5]]
331 200 [[1, 2, 7], [8, 6, 5], [4, 0, 3]]
332 201 [[1, 7, 6], [8, 2, 0], [4, 3, 5]]
333 202 [[1, 2, 7], [0, 3, 6], [8, 4, 5]]
334 204 [[1, 2, 7], [4, 8, 0], [3, 5, 6]]
335 205 [[1, 2, 7], [0, 4, 6], [3, 8, 5]]
336 205 [[1, 2, 7], [4, 6, 0], [3, 8, 5]]
337 205 [[1, 0, 7], [4, 2, 6], [3, 8, 5]]
338 206 [[7, 0, 6], [2, 1, 8], [4, 3, 5]]
339 207 [[2, 7, 6], [4, 1, 8], [3, 0, 5]]
340 208 [[1, 2, 6], [0, 7, 8], [4, 3, 5]]
341 210 [[2, 7, 6], [1, 3, 0], [4, 5, 8]]
342 211 [[2, 7, 6], [0, 8, 5], [1, 4, 3]]
343 212 [[2, 7, 6], [0, 1, 5], [4, 8, 3]]
344 212 [[2, 7, 6], [1, 5, 0], [4, 8, 3]]
345 212 [[2, 0, 6], [1, 7, 5], [4, 8, 3]]
346 213 [[3, 2, 8], [6, 7, 0], [1, 4, 5]]
347 213 [[3, 0, 8], [6, 2, 7], [1, 4, 5]]
348 213 [[3, 2, 8], [6, 4, 7], [1, 0, 5]]
349 214 [[3, 2, 8], [1, 6, 7], [4, 0, 5]]
350 215 [[6, 0, 8], [2, 3, 7], [1, 4, 5]]
351 217 [[2, 6, 8], [3, 7, 5], [1, 0, 4]]
352 218 [[2, 6, 8], [0, 4, 7], [3, 1, 5]]
353 219 [[2, 6, 8], [3, 4, 0], [1, 5, 7]]
354 220 [[2, 8, 7], [6, 5, 0], [3, 1, 4]]
355 220 [[2, 0, 7], [6, 8, 5], [3, 1, 4]]
356 220 [[2, 8, 7], [6, 1, 5], [3, 0, 4]]
357 221 [[8, 0, 7], [2, 6, 5], [3, 1, 4]]
358 222 [[8, 0, 7], [2, 3, 5], [1, 6, 4]]
359 223 [[2, 8, 7], [1, 3, 5], [6, 0, 4]]
360 224 [[2, 0, 8], [3, 5, 7], [1, 6, 4]]
361 226 [[3, 2, 7], [0, 8, 5], [1, 6, 4]]
362 227 [[2, 7, 5], [3, 8, 0], [1, 6, 4]]
363 228 [[3, 0, 2], [8, 6, 7], [1, 4, 5]]
364 229 [[3, 2, 7], [8, 6, 5], [1, 0, 4]]
365 230 [[3, 7, 6], [8, 2, 0], [1, 4, 5]]
366 231 [[3, 2, 7], [0, 4, 6], [8, 1, 5]]
367 232 [[3, 2, 7], [8, 4, 0], [1, 5, 6]]
368 233 [[3, 2, 7], [1, 8, 0], [4, 5, 6]]
369 234 [[3, 2, 7], [0, 1, 6], [4, 8, 5]]
370 234 [[3, 2, 7], [1, 6, 0], [4, 8, 5]]
371 234 [[3, 0, 7], [1, 2, 6], [4, 8, 5]]
372 235 [[7, 0, 6], [2, 3, 8], [1, 4, 5]]
373 236 [[3, 2, 6], [0, 7, 8], [1, 4, 5]]
374 237 [[2, 7, 6], [0, 4, 8], [3, 1, 5]]
375 238 [[2, 7, 6], [3, 4, 0], [1, 5, 8]]
376 239 [[2, 7, 6], [0, 8, 5], [3, 1, 4]]
377 240 [[2, 7, 6], [0, 3, 5], [1, 8, 4]]
378 240 [[2, 7, 6], [3, 5, 0], [1, 8, 4]]
379 240 [[2, 0, 6], [3, 7, 5], [1, 8, 4]]
380 241 [[8, 7, 6], [2, 4, 0], [3, 1, 5]]
381 242 [[8, 4, 7], [0, 2, 6], [3, 1, 5]]
382 242 [[8, 4, 7], [2, 6, 0], [3, 1, 5]]
383 242 [[8, 4, 7], [2, 1, 6], [3, 0, 5]]
384 243 [[8, 0, 7], [2, 3, 4], [1, 5, 6]]
385 244 [[2, 8, 7], [1, 3, 4], [5, 0, 6]]
386 245 [[3, 2, 7], [0, 8, 4], [1, 5, 6]]
387 246 [[2, 7, 4], [3, 8, 0], [1, 5, 6]]
388 247 [[2, 8, 7], [0, 5, 4], [3, 1, 6]]
389 248 [[3, 2, 8], [0, 4, 7], [1, 5, 6]]
390 249 [[2, 4, 8], [0, 3, 7], [1, 5, 6]]
391 249 [[2, 4, 8], [3, 7, 0], [1, 5, 6]]
392 249 [[2, 4, 8], [3, 5, 7], [1, 0, 6]]
393 250 [[7, 0, 6], [8, 2, 3], [1, 4, 5]]
394 251 [[8, 7, 6], [1, 2, 3], [4, 0, 5]]
395 252 [[2, 8, 6], [0, 7, 3], [1, 4, 5]]
396 253 [[8, 6, 3], [2, 7, 0], [1, 4, 5]]
397 254 [[8, 7, 6], [0, 4, 3], [2, 1, 5]]
398 255 [[8, 7, 6], [2, 4, 0], [1, 5, 3]]
399 256 [[8, 7, 6], [0, 3, 5], [2, 1, 4]]
400 257 [[8, 7, 6], [0, 2, 5], [1, 3, 4]]
401 257 [[8, 7, 6], [2, 5, 0], [1, 3, 4]]
402 257 [[8, 0, 6], [2, 7, 5], [1, 3, 4]]
403 258 [[8, 3, 7], [1, 2, 0], [4, 5, 6]]
404 259 [[8, 3, 7], [0, 1, 6], [4, 2, 5]]
405 259 [[8, 3, 7], [1, 6, 0], [4, 2, 5]]
406 259 [[8, 0, 7], [1, 3, 6], [4, 2, 5]]
407 260 [[2, 8, 3], [0, 6, 7], [1, 4, 5]]
408 261 [[8, 6, 3], [0, 2, 7], [1, 4, 5]]
409 261 [[8, 6, 3], [2, 4, 7], [1, 0, 5]]
